year,total_foreign_reserve_usd
1963,376.3
1964,370.7
1965,349.2
1966,392
1967,494.2
1968,708
1969,818.9
1970,1005.8
1971,1412
1972,1750.1
1973,2333
1974,2812.8
1975,3007
1976,3364.5
1977,3858.4
1978,5303.4
1979,5818.6
1980,6571.6
1981,7564.8
1982,8497.9
1983,9287.9
1984,10453.6
1985,12860.3
1986,12946
1987,15232.3
1988,17098.2
1989,20370.9
1990,27789.4
1991,34186.6
1992,39942
1993,48417
1994,58298.6
1995,68819.1
1996,76967.5
1997,71377.6
1998,75021
1999,77047.7
2000,80169.6
2001,75677
2002,82218.7
2003,96244.1
2004,112574.9
2005,116172.6
2006,136260.9
2007,162956.8
2008,174196.3
2009,187809.1
2010,225754.2
2011,237737
2012,259307.1
2013,273065.1
2014,256860.4
